    E, kcal/mol    D, mol/kcal         W1->P1
              0              0            ***
            0.1         443627              0
            0.2         627384              0
            0.3         768385              0
            0.4         955656              0
            0.5    1.80787e+06              0
            0.6    2.29356e+06              0
            0.7    3.03046e+06              0
            0.8    4.55483e+06              0
            0.9     6.7182e+06              0
              1    8.54939e+06              0
            1.1    1.09651e+07              0
            1.2    1.46726e+07              0
            1.3    1.94678e+07              0
            1.4    2.46217e+07              0
            1.5    3.15587e+07              0
            1.6    4.10395e+07              0
            1.7    5.21076e+07              0
            1.8    6.47911e+07              0
            1.9    8.05623e+07              0
              2    1.00977e+08              0
            2.1    1.25303e+08              0
            2.2    1.53977e+08              0
            2.3    1.88956e+08              0
            2.4    2.32271e+08              0
            2.5    2.82897e+08              0
            2.6    3.41893e+08              0
            2.7      4.139e+08              0
            2.8    4.99384e+08              0
            2.9    6.01077e+08              0
              3    7.19539e+08              0
            3.1      8.604e+08              0
            3.2    1.02393e+09              0
            3.3    1.21739e+09              0
            3.4    1.44324e+09              0
            3.5    1.70704e+09              0
            3.6    2.01303e+09              0
            3.7    2.37187e+09              0
            3.8    2.78754e+09              0
            3.9    3.26737e+09              0
              4    3.82256e+09              0
            4.1    4.46416e+09              0
            4.2    5.20703e+09              0
            4.3    6.05969e+09              0
            4.4    7.04205e+09              0
            4.5    8.16584e+09              0
            4.6     9.4582e+09              0
            4.7    1.09356e+10              0
            4.8    1.26276e+10              0
            4.9    1.45569e+10              0
              5    1.67605e+10              0
            5.1    1.92727e+10              0
            5.2    2.21303e+10              0
            5.3    2.53768e+10              0
            5.4      2.906e+10              0
            5.5    3.32436e+10              0
            5.6    3.79841e+10              0
            5.7    4.33496e+10              0
            5.8     4.9413e+10              0
            5.9    5.62641e+10              0
              6    6.39999e+10              0
            6.1    7.27173e+10              0
            6.2    8.25387e+10              0
            6.3    9.35902e+10              0
            6.4    1.06024e+11              0
            6.5    1.19995e+11              0
            6.6    1.35678e+11              0
            6.7     1.5326e+11              0
            6.8    1.72967e+11              0
            6.9    1.95049e+11              0
              7    2.19753e+11              0
            7.1    2.47376e+11              0
            7.2    2.78231e+11              0
            7.3    3.12702e+11              0
            7.4    3.51149e+11              0
            7.5    3.94015e+11              0
            7.6     4.4177e+11              0
            7.7    4.94955e+11              0
            7.8    5.54124e+11              0
            7.9    6.19924e+11              0
              8    6.93038e+11              0
            8.1    7.74229e+11              0
            8.2    8.64333e+11    0.000203643
            8.3     9.6428e+11     0.00234925
            8.4    1.07508e+12     0.00786588
            8.5    1.19781e+12      0.0177835
            8.6    1.33369e+12      0.0338295
            8.7    1.48405e+12      0.0583644
            8.8    1.65036e+12      0.0944484
            8.9    1.83414e+12       0.146278
              9    2.03717e+12       0.218401
            9.1    2.26134e+12        0.31377
            9.2    2.50874e+12       0.438261
            9.3    2.78158e+12       0.600501
            9.4    3.08234e+12       0.812038
            9.5    3.41371e+12        1.08529
            9.6    3.77866e+12        1.43597
            9.7    4.18032e+12        1.88073
            9.8    4.62224e+12        2.44279
            9.9    5.10818e+12        3.15078
             10    5.64227e+12        4.02824
           10.1    6.22903e+12        5.11333
           10.2    6.87335e+12        6.45721
           10.3    7.58054e+12        8.11524
           10.4    8.35635e+12        10.1639
           10.5    9.20714e+12         12.659
           10.6    1.01397e+13        15.6821
           10.7    1.11615e+13        19.3514
           10.8    1.22805e+13        23.8134
           10.9    1.35055e+13        29.2467
             11     1.4846e+13        35.8043
           11.1    1.63123e+13        43.6551
           11.2    1.79155e+13        53.0604
           11.3    1.96676e+13        64.3734
           11.4    2.15818e+13        77.9913
           11.5    2.36722e+13        94.4268
           11.6    2.59543e+13        114.222
           11.7    2.84445e+13        137.959
           11.8    3.11608e+13        166.215
           11.9    3.41227e+13         200.02
             12    3.73513e+13        240.402
           12.1    4.08691e+13        288.275
           12.2    4.47007e+13        345.216
           12.3    4.88727e+13         413.06
           12.4    5.34137e+13        493.626
           12.5    5.83546e+13        589.647
           12.6    6.37286e+13        704.268
           12.7    6.95719e+13        840.938
           12.8    7.59233e+13        1003.95
           12.9    8.28246e+13        1197.28
             13    9.03209e+13        1424.94
           13.1    9.84608e+13         1693.3
           13.2    1.07297e+14        2010.45
           13.3    1.16886e+14        2386.06
           13.4    1.27288e+14        2830.99
           13.5    1.38568e+14        3357.97
           13.6    1.50798e+14        3980.47
           13.7    1.64053e+14        4717.59
           13.8    1.78415e+14        5589.26
           13.9     1.9397e+14        6607.89
             14    2.10815e+14        7801.33
           14.1    2.29049e+14        9205.67
           14.2    2.48781e+14        10853.6
           14.3     2.7013e+14        12794.4
           14.4     2.9322e+14        15077.4
           14.5    3.18186e+14        17742.8
